person_id,x,y
695,17.115,-9.525
695,17.096,-9.504
695,17.022,-9.431
695,16.96,-9.373
695,16.901,-9.334
695,16.859,-9.276
695,16.808,-9.202
695,16.766,-9.182
695,16.713,-9.144
695,16.671,-9.106
695,16.643,-8.971
695,16.614,-8.933
695,16.537,-8.817
695,16.47,-8.787
695,16.4,-8.72
695,16.351,-8.626
695,16.238,-8.545
695,16.176,-8.478
695,16.091,-8.403
695,16.06,-8.367
695,15.988,-8.335
695,15.981,-8.296
695,15.968,-8.278
695,15.965,-8.22
695,15.972,-8.17
695,15.938,-8.138
695,15.896,-8.118
695,15.876,-8.105
695,15.809,-8.013
695,15.747,-7.972
695,15.709,-7.899
695,15.688,-7.833
695,15.656,-7.786
695,15.642,-7.693
695,15.596,-7.607
695,15.583,-7.568
695,15.522,-7.521
695,15.493,-7.472
695,15.434,-7.435
695,15.36,-7.364
695,15.3,-7.324
695,15.387,-7.292
695,15.329,-7.241
695,15.292,-7.212
695,15.257,-7.21
695,15.253,-7.221
695,15.285,-7.239
695,15.219,-7.173
695,15.185,-7.15
695,15.123,-7.07
695,15.052,-7.006
695,14.939,-6.88
695,14.863,-6.801
695,14.786,-6.708
695,14.752,-6.654
695,14.748,-6.621
695,14.719,-6.566
695,14.69,-6.523
695,14.659,-6.495
695,14.61,-6.427
695,14.567,-6.359
695,14.519,-6.299
695,14.482,-6.264
695,14.418,-6.236
695,14.336,-6.21
695,14.259,-6.189
695,14.193,-6.156
695,14.139,-6.137
695,14.072,-6.103
695,14.049,-6.088
695,14.011,-6.063
695,13.96,-6.017
695,13.904,-5.972
695,13.883,-5.957
695,13.814,-5.948
695,13.758,-5.923
695,13.716,-5.893
695,13.664,-5.862
695,13.605,-5.83
695,13.561,-5.83
695,13.519,-5.794
695,13.456,-5.741
695,13.385,-5.709
695,13.349,-5.675
695,13.325,-5.65
695,13.265,-5.584
695,13.236,-5.547
695,13.176,-5.501
695,13.174,-5.457
695,13.187,-5.416
695,13.151,-5.412
695,13.083,-5.381
695,12.994,-5.324
695,12.908,-5.242
695,12.835,-5.189
695,12.76,-5.141
695,12.668,-5.038
695,12.581,-4.924
695,12.58,-4.889
695,12.551,-4.829
695,12.515,-4.782
695,12.471,-4.657
695,12.449,-4.551
695,12.433,-4.45
695,12.427,-4.359
695,12.396,-4.282
695,12.371,-4.227
695,12.304,-4.153
695,12.247,-4.1
695,12.196,-4.082
695,12.09,-4.032
695,12.05,-3.992
695,12.019,-3.936
695,11.94,-3.855
695,11.921,-3.831
695,11.881,-3.811
695,11.828,-3.761
695,11.793,-3.735
695,11.767,-3.697
695,11.717,-3.63
695,11.671,-3.524
695,11.619,-3.431
695,11.552,-3.404
695,11.481,-3.366
695,11.389,-3.349
695,11.337,-3.306
695,11.261,-3.278
695,11.206,-3.225
695,11.148,-3.186
695,11.118,-3.117
695,11.087,-3.043
695,11.062,-3.001
695,11.036,-3
695,10.967,-2.918
695,10.91,-2.9
695,10.858,-2.894
695,10.819,-2.86
695,10.778,-2.808
695,10.718,-2.714
695,10.669,-2.681
695,10.627,-2.678
695,10.534,-2.585
695,10.482,-2.492
695,10.421,-2.417
695,10.35,-2.352
695,10.328,-2.272
695,10.312,-2.24
695,10.265,-2.158
695,10.287,-2.165
695,10.245,-2.087
695,10.203,-2.026
695,10.141,-1.957
695,10.077,-1.9
695,9.997,-1.874
695,9.954,-1.886
695,9.911,-1.903
695,9.86,-1.823
695,9.791,-1.705
695,9.745,-1.629
695,9.69,-1.553
695,9.663,-1.548
695,9.643,-1.533
695,9.593,-1.5
695,9.512,-1.436
695,9.401,-1.391
695,9.303,-1.356
695,9.216,-1.323
695,9.166,-1.242
695,9.154,-1.173
695,9.15,-1.061
695,9.089,-0.991
695,9.028,-0.941
695,8.962,-0.875
695,8.884,-0.844
695,8.842,-0.822
695,8.78,-0.741
695,8.679,-0.667
695,8.672,-0.617
695,8.662,-0.56
695,8.512,-0.413
695,8.468,-0.35
695,8.51,-0.387
695,8.446,-0.366
695,8.374,-0.371
695,8.306,-0.318
695,8.267,-0.29
695,8.239,-0.258
695,8.157,-0.193
695,8.112,-0.142
695,8.074,-0.163
695,8.037,-0.143
695,8.02,-0.132
695,7.992,-0.06
695,7.96,0.024
695,7.911,0.098
695,7.873,0.208
695,7.836,0.287
695,7.773,0.359
695,7.685,0.461
695,7.611,0.51
695,7.549,0.553
695,7.461,0.607
695,7.424,0.598
695,7.404,0.668
695,7.391,0.635
695,7.299,0.738
695,7.251,0.796
695,7.195,0.859
695,7.16,0.874
695,7.086,0.923
695,6.995,1.004
695,6.934,1.065
695,6.877,1.105
695,6.834,1.16
695,6.839,1.222
695,6.768,1.25
695,6.727,1.334
695,6.666,1.4
695,6.721,1.523
695,6.706,1.582
695,6.655,1.635
695,6.652,1.742
695,6.524,1.818
695,6.406,1.892
695,6.361,1.95
695,6.351,1.977
695,6.327,2.104
695,6.298,2.186
695,6.231,2.224
695,6.171,2.263
695,6.131,2.326
695,6.07,2.431
695,5.977,2.503
695,5.922,2.54
695,5.874,2.586
695,5.753,2.67
695,5.714,2.737
695,5.671,2.795
695,5.619,2.845
695,5.467,2.765
695,5.423,2.834
695,5.365,2.83
695,5.316,2.793
695,5.228,2.64
695,5.158,2.524
695,5.083,2.473
695,5.011,2.483
695,4.981,2.493
695,4.892,2.573
695,4.888,2.761
695,4.863,2.838
695,4.807,2.93
695,4.772,3.016
695,4.719,3.083
695,4.67,3.15
695,4.649,3.214
695,4.546,3.394
695,4.436,3.45
695,4.334,3.484
695,4.239,3.466
695,4.134,3.454
695,4.069,3.481
695,4.022,3.492
695,3.983,3.477
695,3.937,3.531
695,3.883,3.549
695,3.85,3.596
695,3.809,3.592
695,3.736,3.595
695,3.673,3.616
695,3.573,3.67
695,3.486,3.664
695,3.462,3.664
695,3.392,3.704
695,3.299,3.736
695,3.199,3.766
695,3.115,3.805
695,3.034,3.836
695,3.001,3.874
695,2.956,3.897
695,2.924,3.94
695,2.9,3.958
695,2.863,3.983
695,2.817,4.011
695,2.736,4.045
695,2.667,4.107
695,2.608,4.151
695,2.549,4.208
695,2.52,4.261
695,2.45,4.292
695,2.382,4.331
695,2.335,4.38
695,2.278,4.433
695,2.214,4.489
695,2.139,4.551
695,2.088,4.623
695,2.034,4.661
695,1.99,4.698
695,1.938,4.732
695,1.866,4.758
695,1.815,4.787
695,1.775,4.824
695,1.74,4.856
695,1.676,4.91
695,1.605,4.933
695,1.535,4.943
695,1.426,4.998
695,1.335,5.022
695,1.236,5.061
695,1.159,5.119
695,1.027,5.188
695,0.929,5.212
695,0.847,5.221
695,0.711,5.25
695,0.618,5.283
695,0.531,5.319
695,0.454,5.341
695,0.388,5.372
695,0.333,5.402
695,0.254,5.44
695,0.203,5.473
695,0.159,5.509
695,0.104,5.561
695,0.041,5.631
695,-0.016,5.691
695,-0.118,5.715
695,-0.189,5.755
695,-0.258,5.786
695,-0.315,5.808
695,-0.36,5.863
695,-0.421,5.909
695,-0.485,5.921
695,-0.592,5.926
695,-0.664,5.895
695,-0.71,5.898
695,-0.752,5.922
695,-0.835,5.935
695,-0.92,5.934
695,-0.966,5.948
695,-1.032,5.989
695,-1.09,5.975
695,-1.136,6.008
695,-1.165,6.045
695,-1.181,6.042
695,-1.25,6.04
