person_id,x,y
653,42.227,-22.335
653,42.171,-22.284
653,42.093,-22.23
653,42.016,-22.148
653,41.861,-22.05
653,41.756,-21.961
653,41.568,-21.892
653,41.517,-21.839
653,41.325,-21.752
653,41.178,-21.652
653,41.098,-21.577
653,41.114,-21.596
653,41.114,-21.634
653,41.061,-21.663
653,40.986,-21.662
653,40.832,-21.663
653,40.732,-21.612
653,40.621,-21.569
653,40.51,-21.551
653,40.359,-21.513
653,40.222,-21.458
653,40.045,-21.418
653,39.967,-21.403
653,39.932,-21.371
653,39.868,-21.27
653,39.725,-21.175
653,39.558,-21.092
653,39.409,-21.009
653,39.293,-20.943
653,39.197,-20.907
653,39.093,-20.855
653,38.981,-20.796
653,38.883,-20.758
653,38.784,-20.723
653,38.714,-20.702
653,38.636,-20.672
653,38.568,-20.624
653,38.476,-20.541
653,38.39,-20.497
653,38.282,-20.49
653,38.154,-20.474
653,38.012,-20.465
653,37.881,-20.45
653,37.807,-20.416
653,37.709,-20.373
653,37.604,-20.349
653,37.479,-20.305
653,37.363,-20.256
653,37.252,-20.181
653,37.163,-20.126
653,37.027,-20.092
653,36.886,-20.055
653,36.761,-20.048
653,36.698,-20.029
653,36.59,-19.963
653,36.493,-19.927
653,36.394,-19.883
653,36.303,-19.854
653,36.155,-19.818
653,35.996,-19.768
653,35.886,-19.729
653,35.787,-19.71
653,35.643,-19.699
653,35.511,-19.644
653,35.32,-19.577
653,35.174,-19.514
653,35.077,-19.447
653,34.97,-19.376
653,34.88,-19.341
653,34.755,-19.312
653,34.667,-19.303
653,34.607,-19.273
653,34.533,-19.247
653,34.422,-19.195
653,34.311,-19.159
653,34.203,-19.118
653,34.093,-19.075
653,33.99,-19.039
653,33.884,-18.992
653,33.767,-18.951
653,33.672,-18.92
653,33.581,-18.951
653,33.438,-19.001
653,33.337,-19.027
653,33.251,-18.989
653,33.22,-18.971
653,33.126,-18.957
653,33.01,-18.93
653,32.89,-18.909
653,32.798,-18.872
653,32.665,-18.846
653,32.54,-18.849
653,32.417,-18.859
653,32.319,-18.862
653,32.233,-18.842
653,31.978,-18.735
653,31.875,-18.654
653,31.75,-18.602
653,31.588,-18.553
653,31.538,-18.488
653,31.417,-18.441
653,31.355,-18.493
653,31.218,-18.479
653,31.107,-18.464
653,30.942,-18.448
653,30.811,-18.437
653,30.668,-18.385
653,30.518,-18.341
653,30.359,-18.275
653,30.204,-18.187
653,30.098,-18.125
653,29.978,-18.104
653,29.891,-18.124
653,29.838,-18.107
653,29.758,-18.082
653,29.664,-18.053
653,29.58,-18.062
653,29.441,-18.016
653,29.309,-17.977
653,29.153,-17.915
653,29.054,-17.872
653,28.947,-17.833
653,28.832,-17.796
653,28.7,-17.76
653,28.571,-17.716
653,28.47,-17.665
653,28.386,-17.634
653,28.297,-17.585
653,28.221,-17.552
653,28.103,-17.489
653,28.053,-17.468
653,27.955,-17.433
